,nombre_embalse,demarcacion_hidrografica,ccaa,provincia,uso,coordenadas,x,y
0,"aceña, la",tajo,Castilla Y León,Ávila,"Abastecimiento
Defensa frente avenidas","40.6125237900001,-4.22148248499997","40,6125237900001","-4,22148248499997"
1,"agrio, el",guadalquivir,Andalucía,Sevilla,"Abastecimiento
Defensa frente avenidas","37.5322020510001,-6.28346466799997","37,5322020510001","-6,28346466799997"
2,aguascebas,guadalquivir,Andalucía,Jaén,Abastecimiento,"38.0435042350001,-2.95222543699992","38,0435042350001","-2,95222543699992"
3,agueda,duero,Castilla Y León,Salamanca,"Abastecimiento
Ganadero
Defensa frente avenidas","40.529781939,-6.48161367799997","40,529781939","-6,48161367799997"
4,"aguijon, el",guadiana,Extremadura,Badajoz,Abastecimiento,"38.473447859,-6.92088528799997","38,473447859","-6,92088528799997"
5,aguilar de campoo,duero,Castilla Y León,Palencia,"Abastecimiento
Minería
Industrial
Hidroeléctrico
Ganadero
Defensa frente avenidas","42.7950910920001,-4.28734412199998","42,7950910920001","-4,28734412199998"
6,alange,guadiana,Extremadura,Badajoz,"Abastecimiento
Ganadero
Defensa frente avenidas","38.7874608500001,-6.26830306899996","38,7874608500001","-6,26830306899996"
7,alarcon,jucar,Castilla - La Mancha,Cuenca,"Abastecimiento
Hidroeléctrico
Ganadero
Defensa frente avenidas","39.5643548690001,-2.11225016699996","39,5643548690001","-2,11225016699996"
8,albarellos,miño-sil,Galicia,Ourense,"Abastecimiento
Defensa frente avenidas","42.3997502070001,-8.19041297799993","42,3997502070001","-8,19041297799993"
9,alcorlo,tajo,Castilla - La Mancha,Guadalajara,"Abastecimiento
Defensa frente avenidas","41.008581625,-3.02478278699994","41,008581625","-3,02478278699994"
10,aldeadavila,duero,Castilla Y León,Salamanca,Abastecimiento,"41.211678448,-6.68578589399993","41,211678448","-6,68578589399993"
11,alfonso xiii,segura,Región De Murcia,Murcia,"Abastecimiento
Defensa frente avenidas","38.2232084,-1.59952768299996","38,2232084","-1,59952768299996"
12,algar,jucar,Comunitat Valenciana,"València,Valencia","Abastecimiento
Defensa frente avenidas","39.787914266,-0.37682482699995","39,787914266","-0,37682482699995"
13,"algeciras, rambla de",segura,Región De Murcia,Murcia,"Abastecimiento
Defensa frente avenidas","37.887515039,-1.38566705299996","37,887515039","-1,38566705299996"
14,alloz,ebro,Comunidad Foral De Navarra,Navarra,"Abastecimiento
Defensa frente avenidas","42.70627432,-1.94249903099995","42,70627432","-1,94249903099995"
15,almendra,duero,Castilla Y León,Zamora,Abastecimiento,"41.2714941880001,-6.32020866599993","41,2714941880001","-6,32020866599993"
16,almodovar,guadalete y barbate,Andalucía,Cádiz,"Abastecimiento
Defensa frente avenidas","36.1536149680001,-5.64973106899993","36,1536149680001","-5,64973106899993"
17,almoguera,tajo,Castilla - La Mancha,Guadalajara,"Abastecimiento
Ganadero
Defensa frente avenidas","40.2743056580001,-2.95882007899996","40,2743056580001","-2,95882007899996"
18,alsa torina,cantabrico occidental,Cantabria,Cantabria,Abastecimiento,"43.0720798520001,-4.01289343399998","43,0720798520001","-4,01289343399998"
19,amadorio,jucar,Comunitat Valenciana,"Alacant,Alicante","Abastecimiento
Defensa frente avenidas","38.5337220420001,-0.264786822999952","38,5337220420001","-0,264786822999952"
20,andevalo,guadiana,Andalucía,Huelva,Abastecimiento,"37.6251957920001,-7.40050286999997","37,6251957920001","-7,40050286999997"
21,aracena,guadalquivir,Andalucía,Huelva,Abastecimiento,"37.9078896870001,-6.45184509099994","37,9078896870001","-6,45184509099994"
22,arbon,cantabrico occidental,Principado De Asturias,Asturias,Abastecimiento,"43.4770926850001,-6.73016840999998","43,4770926850001","-6,73016840999998"
23,arcos,guadalete y barbate,Andalucía,Cádiz,"Abastecimiento
Defensa frente avenidas","36.7513393790001,-5.79558309999993","36,7513393790001","-5,79558309999993"
24,arenos,jucar,Comunitat Valenciana,"Castelló,Castellón","Abastecimiento
Defensa frente avenidas","40.086011408,-0.548482762999924","40,086011408","-0,548482762999924"
25,arenoso,guadalquivir,Andalucía,Córdoba,"Abastecimiento
Defensa frente avenidas","38.0210076590001,-4.44123809399997","38,0210076590001","-4,44123809399997"
26,argos,segura,Región De Murcia,Murcia,"Abastecimiento
Defensa frente avenidas","38.1723978200001,-1.73353032399996","38,1723978200001","-1,73353032399996"
27,arlanzon,duero,Castilla Y León,Burgos,"Abastecimiento
Ganadero
Defensa frente avenidas","42.263942951,-3.33957144699997","42,263942951","-3,33957144699997"
28,arquillo de san blas,jucar,Aragón,Teruel,"Abastecimiento
Hidroeléctrico
Ganadero
Defensa frente avenidas","40.3639950640001,-1.20489484199993","40,3639950640001","-1,20489484199993"
29,"atance, el",tajo,Castilla - La Mancha,Guadalajara,"Abastecimiento
Ganadero
Defensa frente avenidas","41.075332577,-2.78506228099997","41,075332577","-2,78506228099997"
30,"atazar, el",tajo,Comunidad De Madrid,Madrid,"Abastecimiento
Ganadero
Defensa frente avenidas","40.9119621410001,-3.47348717199998","40,9119621410001","-3,47348717199998"
31,azutan,tajo,Castilla - La Mancha,Toledo,"Abastecimiento
Defensa frente avenidas","39.7779346240001,-5.08911715899995","39,7779346240001","-5,08911715899995"
32,añarbe,cantabrico oriental,País Vasco,"Gipuzkoa,Guipúzcoa",Abastecimiento,"43.21230153,-1.87524544699994","43,21230153","-1,87524544699994"
33,bachimaña alto,ebro,Aragón,Huesca,"Abastecimiento
Defensa frente avenidas","42.782028102,-0.223491101999969","42,782028102","-0,223491101999969"
34,"baells, la",cuencas internas de cataluña,Cataluña,Barcelona,"Abastecimiento
Hidroeléctrico
Ganadero
Defensa frente avenidas","42.121967372,1.87834263000002","42,121967372","1,87834263000002"
35,barasona,ebro,Aragón,Huesca,"Abastecimiento
Ganadero
Defensa frente avenidas","42.124230776,0.311147826000024","42,124230776","0,311147826000024"
36,barbate,guadalete y barbate,Andalucía,Cádiz,Abastecimiento,"36.37044293,-5.74144173299993","36,37044293","-5,74144173299993"
37,barcena,miño-sil,Castilla Y León,León,"Abastecimiento
Hidroeléctrico
Ganadero
Defensa frente avenidas","42.577466988,-6.56029138499997","42,577466988","-6,56029138499997"
38,barrie de la maza,galicia-costa,Galicia,A Coruña,Abastecimiento,"42.8649691900001,-8.79707815799998","42,8649691900001","-8,79707815799998"
39,barrios de luna,duero,Castilla Y León,León,"Abastecimiento
Ganadero
Defensa frente avenidas","42.8497176120001,-5.86372470099997","42,8497176120001","-5,86372470099997"
40,baserca,ebro,Cataluña,Lleida,"Hidroeléctrico
Defensa frente avenidas","42.578713312,0.758746737000024","42,578713312","0,758746737000024"
41,"bautista, la",guadalquivir,Andalucía,Sevilla,Abastecimiento,"37.6571849600001,-5.63911754499998","37,6571849600001","-5,63911754499998"
42,"bayco, rambla de",segura,Castilla - La Mancha,Albacete,Abastecimiento,"38.6400374940001,-1.50110869599996","38,6400374940001","-1,50110869599996"
43,baños de montemayor,tajo,Extremadura,Cáceres,Abastecimiento,"40.281682582,-5.89538451999994","40,281682582","-5,89538451999994"
44,belesar,miño-sil,Galicia,Lugo,"Abastecimiento
Hidroeléctrico
Ganadero
Defensa frente avenidas","42.6287771620001,-7.71239387399993","42,6287771620001","-7,71239387399993"
45,beleña,tajo,Castilla - La Mancha,Guadalajara,Abastecimiento,"40.9338651420001,-3.19600748099998","40,9338651420001","-3,19600748099998"
46,bellus,jucar,Comunitat Valenciana,"València,Valencia","Abastecimiento
Defensa frente avenidas","38.939709044,-0.477464632999954","38,939709044","-0,477464632999954"
47,bembezar,guadalquivir,Andalucía,Córdoba,Abastecimiento,"37.8247225110001,-5.23720810199995","37,8247225110001","-5,23720810199995"
48,beniarres,jucar,Comunitat Valenciana,"Alacant,Alicante",Abastecimiento,"38.8149169910001,-0.356155444999956","38,8149169910001","-0,356155444999956"
49,"bermejales, los",guadalquivir,Andalucía,Granada,"Abastecimiento
Ganadero
Defensa frente avenidas","36.996064807,-3.89363361899996","36,996064807","-3,89363361899996"
50,beznar,cuencas mediterraneas andaluzas,Andalucía,Granada,"Abastecimiento
Ganadero
Defensa frente avenidas","36.9152042690001,-3.54016190699997","36,9152042690001","-3,54016190699997"
51,bolarque,tajo,Castilla - La Mancha,Guadalajara,"Abastecimiento
Defensa frente avenidas","40.363245856,-2.81868119299997","40,363245856","-2,81868119299997"
52,"bolera, la",guadalquivir,Andalucía,Jaén,"Abastecimiento
Defensa frente avenidas","37.7622489710001,-2.90313354799997","37,7622489710001","-2,90313354799997"
53,boqueron,guadiana,Extremadura,Badajoz,Abastecimiento,"39.1511076260001,-6.41827824299997","39,1511076260001","-6,41827824299997"
54,borbollon,tajo,Extremadura,Cáceres,"Abastecimiento
Ganadero
Defensa frente avenidas","40.1253008750001,-6.57693620899994","40,1253008750001","-6,57693620899994"
55,bornos,guadalete y barbate,Andalucía,Cádiz,"Abastecimiento
Defensa frente avenidas","36.7905754980001,-5.76131138199997","36,7905754980001","-5,76131138199997"
56,brovales,guadiana,Extremadura,Badajoz,Abastecimiento,"38.345277652,-6.69588046499996","38,345277652","-6,69588046499996"
57,bubal,ebro,Aragón,Huesca,"Abastecimiento
Ganadero
Defensa frente avenidas","42.68098159,-0.315761256999963","42,68098159","-0,315761256999963"
58,buendia,tajo,Castilla - La Mancha,Cuenca,"Abastecimiento
Hidroeléctrico
Ganadero
Defensa frente avenidas","40.3992227420001,-2.78382182099995","40,3992227420001","-2,78382182099995"
59,"bujeda, la",tajo,Castilla - La Mancha,Guadalajara,"Abastecimiento
Defensa frente avenidas","40.244500658,-2.83518801499997","40,244500658","-2,83518801499997"
60,burgomillodo,duero,Castilla Y León,Segovia,Abastecimiento,"41.337311189,-3.88541240699993","41,337311189","-3,88541240699993"
61,"burguillo, el",tajo,Castilla Y León,Ávila,"Abastecimiento
Ganadero
Defensa frente avenidas","40.424680815,-4.53392339099997","40,424680815","-4,53392339099997"
62,cala,guadalquivir,Andalucía,Sevilla,"Abastecimiento
Ganadero
Hidroeléctrico","37.7222268940001,-6.08896625199998","37,7222268940001","-6,08896625199998"
63,calanda,ebro,Aragón,Teruel,"Abastecimiento
Ganadero
Defensa frente avenidas","40.9154746140001,-0.211212751999938","40,9154746140001","-0,211212751999938"
64,caldas de reis,galicia-costa,Galicia,Pontevedra,"Abastecimiento
Ganadero
Defensa frente avenidas","42.608002556,-8.61626161099997","42,608002556","-8,61626161099997"
65,camarasa,ebro,Cataluña,Lleida,"Abastecimiento
Defensa frente avenidas","41.9079463640001,0.88683086900005","41,9079463640001","0,88683086900005"
66,camarillas,segura,Castilla - La Mancha,Albacete,"Abastecimiento
Defensa frente avenidas","38.3399580770001,-1.64879497099997","38,3399580770001","-1,64879497099997"
67,"campañana, la",miño-sil,Castilla Y León,León,Abastecimiento,"42.498086748,-6.76967359799994","42,498086748","-6,76967359799994"
68,camporredondo,duero,Castilla Y León,Palencia,"Abastecimiento
Hidroeléctrico
Ganadero
Defensa frente avenidas","42.8991049300001,-4.73748905099995","42,8991049300001","-4,73748905099995"
69,campos del paraiso,guadiana,Castilla - La Mancha,Cuenca,Abastecimiento,"39.974474851,-2.73818245399997","39,974474851","-2,73818245399997"
70,canales,guadalquivir,Andalucía,Granada,"Abastecimiento
Ganadero
Defensa frente avenidas","37.1604689060001,-3.48047606499995","37,1604689060001","-3,48047606499995"
71,"canchales, los",guadiana,Extremadura,Badajoz,"Abastecimiento
Defensa frente avenidas","38.964354455,-6.52263624799997","38,964354455","-6,52263624799997"
72,cancho del fresno,guadiana,Extremadura,Cáceres,"Abastecimiento
Hidroeléctrico
Ganadero
Defensa frente avenidas","39.3931095610001,-5.39044150299998","39,3931095610001","-5,39044150299998"
73,canelles,ebro,Aragón,Huesca,Abastecimiento,"41.9785559910001,0.612325865000059","41,9785559910001","0,612325865000059"
74,casares de arbas,duero,Castilla Y León,León,"Abastecimiento
Defensa frente avenidas","42.92752926,-5.75913376799997","42,92752926","-5,75913376799997"
75,casasola,cuencas mediterraneas andaluzas,Andalucía,Málaga,"Abastecimiento
Defensa frente avenidas","36.80441203,-4.49571219199993","36,80441203","-4,49571219199993"
76,caspe,ebro,Aragón,Zaragoza,"Hidroeléctrico
Defensa frente avenidas","41.2470170710001,-0.057856813999933","41,2470170710001","-0,057856813999933"
77,caspe ii,ebro,Aragón,Zaragoza,"Abastecimiento
Ganadero
Defensa frente avenidas","41.1358789010001,0.000636272000065","41,1358789010001","0,000636272000065"
78,castilseras,guadiana,Castilla - La Mancha,Ciudad Real,"Abastecimiento
Defensa frente avenidas","38.738908709,-4.80134611699998","38,738908709","-4,80134611699998"
79,castrejon,tajo,Castilla - La Mancha,Toledo,"Abastecimiento
Defensa frente avenidas","39.833565075,-4.29494820899993","39,833565075","-4,29494820899993"
80,castrelo de miño,miño-sil,Galicia,Ourense,"Abastecimiento
Defensa frente avenidas","42.2925003490001,-8.11641027099995","42,2925003490001","-8,11641027099995"
81,castro,duero,Castilla Y León,Zamora,Abastecimiento,"41.57537726,-6.18722467599997","41,57537726","-6,18722467599997"
82,castro de las cogotas,duero,Castilla Y León,Ávila,"Abastecimiento
Hidroeléctrico
Ganadero
Defensa frente avenidas","40.7245279160001,-4.69718935299994","40,7245279160001","-4,69718935299994"
83,"castro, el",tajo,Castilla - La Mancha,Toledo,Abastecimiento,"39.8064449990001,-3.75294972199993","39,8064449990001","-3,75294972199993"
84,cavallers,ebro,Cataluña,Lleida,Hidroeléctrico,"42.58555584,0.854115437000075","42,58555584","0,854115437000075"
85,cazalegas,tajo,Castilla - La Mancha,Toledo,"Abastecimiento
Defensa frente avenidas","40.01298709,-4.70624804799996","40,01298709","-4,70624804799996"
86,cedillo,tajo,Extremadura,Cáceres,Abastecimiento,"39.663782181,-7.53999733599994","39,663782181","-7,53999733599994"
87,celemin,guadalete y barbate,Andalucía,Cádiz,Abastecimiento,"36.299322019,-5.77443215499994","36,299322019","-5,77443215499994"
88,"cenajo, el",segura,Región De Murcia,Murcia,"Abastecimiento
Defensa frente avenidas","38.3655522450001,-1.77603645999994","38,3655522450001","-1,77603645999994"
89,cenza,miño-sil,Galicia,Ourense,Abastecimiento,"42.1958472700001,-7.24682463199997","42,1958472700001","-7,24682463199997"
90,cernadilla,duero,Castilla Y León,Zamora,"Abastecimiento
Defensa frente avenidas","42.0191548230001,-6.45932291799994","42,0191548230001","-6,45932291799994"
91,cervera,duero,Castilla Y León,Palencia,"Abastecimiento
Industrial
Hidroeléctrico
Ganadero
Defensa frente avenidas","42.8660505030001,-4.52768060999995","42,8660505030001","-4,52768060999995"
92,chandreja,miño-sil,Galicia,Ourense,Hidroeléctrico,"42.26297501,-7.38654057899993","42,26297501","-7,38654057899993"
93,chanza,guadiana,Andalucía,Huelva,"Abastecimiento
Ganadero
Defensa frente avenidas","37.5584664020001,-7.52075869499993","37,5584664020001","-7,52075869499993"
94,charco redondo,cuencas mediterraneas andaluzas,Andalucía,Cádiz,"Abastecimiento
Ganadero
Defensa frente avenidas","36.2322004530001,-5.54416164299994","36,2322004530001","-5,54416164299994"
95,"cierva, la",segura,Región De Murcia,Murcia,"Abastecimiento
Defensa frente avenidas","38.0602631900001,-1.48765333199998","38,0602631900001","-1,48765333199998"
96,cijara,guadiana,Extremadura,Cáceres,"Abastecimiento
Hidroeléctrico
Ganadero
Defensa frente avenidas","39.373622884,-5.01612487499995","39,373622884","-5,01612487499995"
97,ciurana,ebro,Cataluña,Tarragona,"Abastecimiento
Defensa frente avenidas","41.2495806650001,0.913874355000075","41,2495806650001","0,913874355000075"
98,colomera,guadalquivir,Andalucía,Granada,"Abastecimiento
Ganadero
Defensa frente avenidas","37.3996522370001,-3.72326104199993","37,3996522370001","-3,72326104199993"
99,compuerto,duero,Castilla Y León,Palencia,"Abastecimiento
Minería
Industrial
Hidroeléctrico
Ganadero
Defensa frente avenidas","42.860854868,-4.82693537899996","42,860854868","-4,82693537899996"
100,"concepcion, la",cuencas mediterraneas andaluzas,Andalucía,Málaga,Abastecimiento,"36.535398366,-4.96075456799997","36,535398366","-4,96075456799997"
101,"conchas, las",miño-sil,Galicia,Ourense,Abastecimiento,"41.944252453,-8.03492920899993","41,944252453","-8,03492920899993"
102,conde de guadalhorce,cuencas mediterraneas andaluzas,Andalucía,Málaga,Abastecimiento,"36.9333016160001,-4.80374890499996","36,9333016160001","-4,80374890499996"
103,contreras,jucar,Comunitat Valenciana,"València,Valencia","Abastecimiento
Ganadero
Defensa frente avenidas","39.5435634520001,-1.50316294099997","39,5435634520001","-1,50316294099997"
104,cordobilla,guadalquivir,Andalucía,Sevilla,"Hidroeléctrico
Defensa frente avenidas","37.3492563180001,-4.72116142999994","37,3492563180001","-4,72116142999994"
105,cortes ii,jucar,Comunitat Valenciana,"València,Valencia",Abastecimiento,"39.261640399,-0.918337680999969","39,261640399","-0,918337680999969"
106,corumbel bajo,"tinto, odiel y piedras",Andalucía,Huelva,"Abastecimiento
Defensa frente avenidas","37.449084574,-6.57274195299993","37,449084574","-6,57274195299993"
107,crevillente,segura,Comunitat Valenciana,"Alacant,Alicante",Abastecimiento,"38.2573070890001,-0.791022540999961","38,2573070890001","-0,791022540999961"
108,cubilar,guadiana,Extremadura,Cáceres,"Abastecimiento
Defensa frente avenidas","39.237347379,-5.47071172699998","39,237347379","-5,47071172699998"
109,cubillas,guadalquivir,Andalucía,Granada,Abastecimiento,"37.274509489,-3.68317058099996","37,274509489","-3,68317058099996"
110,cuerda del pozo,duero,Castilla Y León,Soria,"Abastecimiento
Ganadero
Defensa frente avenidas","41.875818591,-2.70401966899993","41,875818591","-2,70401966899993"
111,cueva foradada,ebro,Aragón,Teruel,"Abastecimiento
Ganadero
Defensa frente avenidas","40.9872073600001,-0.692681022999977","40,9872073600001","-0,692681022999977"
112,cuevas de almanzora,cuencas mediterraneas andaluzas,Andalucía,Almería,"Abastecimiento
Ganadero
Defensa frente avenidas","37.3275930070001,-1.89673564999993","37,3275930070001","-1,89673564999993"
113,darnius boadella,cuencas internas de cataluña,Cataluña,Girona,"Abastecimiento
Ganadero
Defensa frente avenidas","42.33781463,2.82696870100006","42,33781463","2,82696870100006"
114,doiras,cantabrico occidental,Principado De Asturias,Asturias,Abastecimiento,"43.385947786,-6.82525303699992","43,385947786","-6,82525303699992"
115,ebro,ebro,Cantabria,Cantabria,"Abastecimiento
Ganadero
Defensa frente avenidas","42.969946861,-4.05169448199996","42,969946861","-4,05169448199996"
116,encinarejo,guadalquivir,Andalucía,Jaén,"Hidroeléctrico
Defensa frente avenidas","38.164548686,-3.99287874699996","38,164548686","-3,99287874699996"
117,entrepeñas,tajo,Castilla - La Mancha,Guadalajara,"Abastecimiento
Hidroeléctrico
Ganadero
Defensa frente avenidas","40.4930851390001,-2.75082189599993","40,4930851390001","-2,75082189599993"
118,escales,ebro,Aragón,Huesca,Hidroeléctrico,"42.326356092,0.744016995000038","42,326356092","0,744016995000038"
119,escalona,jucar,Comunitat Valenciana,"València,Valencia",Abastecimiento,"39.1285075870001,-0.698314119999964","39,1285075870001","-0,698314119999964"
120,escarra,ebro,Aragón,Huesca,Abastecimiento,"42.7450247100001,-0.352936039999975","42,7450247100001","-0,352936039999975"
121,eugui,ebro,Comunidad Foral De Navarra,Navarra,"Abastecimiento
Defensa frente avenidas","42.9720260930001,-1.51442096399995","42,9720260930001","-1,51442096399995"
122,eume,galicia-costa,Galicia,A Coruña,Abastecimiento,"43.4071984460001,-8.01105708299997","43,4071984460001","-8,01105708299997"
123,"ferial, el",ebro,Comunidad Foral De Navarra,Navarra,Abastecimiento,"42.2903109210001,-1.58668498599997","42,2903109210001","-1,58668498599997"
124,"fernandina, la",guadalquivir,Andalucía,Jaén,Abastecimiento,"38.179645624,-3.57022439999997","38,179645624","-3,57022439999997"
125,finisterre,tajo,Castilla - La Mancha,Toledo,"Abastecimiento
Defensa frente avenidas","39.649443492,-3.65015487999995","39,649443492","-3,65015487999995"
126,forata,jucar,Comunitat Valenciana,"València,Valencia",Abastecimiento,"39.340702734,-0.86476747599994","39,340702734","-0,86476747599994"
127,francisco abellan,guadalquivir,Andalucía,Granada,Abastecimiento,"37.3127246610001,-3.25361574599998","37,3127246610001","-3,25361574599998"
128,"fresneda, la",guadalquivir,Castilla - La Mancha,Ciudad Real,Abastecimiento,"38.558512121,-3.62973097799994","38,558512121","-3,62973097799994"
129,frieira,miño-sil,Galicia,Ourense,"Abastecimiento
Defensa frente avenidas","42.1557461190001,-8.19287681099996","42,1557461190001","-8,19287681099996"
130,fuensanta,segura,Castilla - La Mancha,Albacete,"Abastecimiento
Ganadero
Defensa frente avenidas","38.3912491360001,-2.20834281199996","38,3912491360001","-2,20834281199996"
131,gabriel y galan,tajo,Extremadura,Cáceres,"Abastecimiento
Defensa frente avenidas","40.2212708710001,-6.13324221599993","40,2212708710001","-6,13324221599993"
132,garcia de sola,guadiana,Extremadura,Badajoz,"Abastecimiento
Hidroeléctrico
Ganadero
Defensa frente avenidas","39.144361067,-5.18441797299994","39,144361067","-5,18441797299994"
133,gargaligas,guadiana,Extremadura,Badajoz,"Abastecimiento
Defensa frente avenidas","39.1890571110001,-5.35996145499996","39,1890571110001","-5,35996145499996"
134,gasset,guadiana,Castilla - La Mancha,Ciudad Real,"Abastecimiento
Defensa frente avenidas","39.1285987630001,-3.93764624399995","39,1285987630001","-3,93764624399995"
135,gergal,guadalquivir,Andalucía,Sevilla,Abastecimiento,"37.5672733050001,-6.04905378099994","37,5672733050001","-6,04905378099994"
136,giribaile,guadalquivir,Andalucía,Jaén,"Abastecimiento
Defensa frente avenidas","38.0911996560001,-3.51273384599995","38,0911996560001","-3,51273384599995"
137,gonzalez lacasa,ebro,La Rioja,La Rioja,"Abastecimiento
Ganadero
Defensa frente avenidas","42.1737805980001,-2.67275261299994","42,1737805980001","-2,67275261299994"
138,"grado i, el",ebro,Aragón,Huesca,"Abastecimiento
Ganadero
Defensa frente avenidas","42.1511967980001,0.234452975000067","42,1511967980001","0,234452975000067"
139,guadalcacin ii,guadalete y barbate,Andalucía,Cádiz,"Abastecimiento
Defensa frente avenidas","36.6680511050001,-5.78680409799995","36,6680511050001","-5,78680409799995"
140,guadalen,guadalquivir,Andalucía,Jaén,"Abastecimiento
Ganadero
Defensa frente avenidas","38.1615276140001,-3.47795410699996","38,1615276140001","-3,47795410699996"
141,guadalest,jucar,Comunitat Valenciana,"Alacant,Alicante","Abastecimiento
Defensa frente avenidas","38.679938329,-0.19178029699998","38,679938329","-0,19178029699998"
142,guadalhorce,cuencas mediterraneas andaluzas,Andalucía,Málaga,"Abastecimiento
Ganadero
Defensa frente avenidas","36.9414313670001,-4.79782087299998","36,9414313670001","-4,79782087299998"
143,guadalmellato,guadalquivir,Andalucía,Córdoba,"Abastecimiento
Ganadero
Defensa frente avenidas","38.0420292630001,-4.67345434199996","38,0420292630001","-4,67345434199996"
144,guadalmena,guadalquivir,Andalucía,Jaén,"Abastecimiento
Ganadero
Defensa frente avenidas","38.3634923170001,-2.91397881899996","38,3634923170001","-2,91397881899996"
145,guadalteba,cuencas mediterraneas andaluzas,Andalucía,Málaga,"Abastecimiento
Ganadero
Defensa frente avenidas","36.9401923770001,-4.80047539999993","36,9401923770001","-4,80047539999993"
146,guadarranque,cuencas mediterraneas andaluzas,Andalucía,Cádiz,"Abastecimiento
Ganadero
Defensa frente avenidas","36.3087665890001,-5.46145982799993","36,3087665890001","-5,46145982799993"
147,guadiloba,tajo,Extremadura,Cáceres,Abastecimiento,"39.487293193,-6.29761917899998","39,487293193","-6,29761917899998"
148,guajaraz,tajo,Castilla - La Mancha,Toledo,Abastecimiento,"39.7999260600001,-4.08754612399997","39,7999260600001","-4,08754612399997"
149,guiamets,ebro,Cataluña,Tarragona,Abastecimiento,"41.098764213,0.751588232000074","41,098764213","0,751588232000074"
150,horno tejero,guadiana,Extremadura,Badajoz,Abastecimiento,"39.1524666400001,-6.43288892199996","39,1524666400001","-6,43288892199996"
151,huesna,guadalquivir,Andalucía,Sevilla,"Abastecimiento
Ganadero
Defensa frente avenidas","37.769635302,-5.68521394399994","37,769635302","-5,68521394399994"
152,"hurones, los",guadalete y barbate,Andalucía,Cádiz,"Abastecimiento
Ganadero
Defensa frente avenidas","36.6613705560001,-5.56192533699993","36,6613705560001","-5,56192533699993"
153,ibai-eder,cantabrico oriental,País Vasco,"Gipuzkoa,Guipúzcoa",Abastecimiento,"43.1287549570001,-2.22691844199994","43,1287549570001","-2,22691844199994"
154,ibon de ip,ebro,Aragón,Huesca,Hidroeléctrico,"42.7228732190001,-0.462683542999969","42,7228732190001","-0,462683542999969"
155,irabia,ebro,Comunidad Foral De Navarra,Navarra,"Abastecimiento
Ganadero
Defensa frente avenidas","42.9849261200001,-1.15747190799993","42,9849261200001","-1,15747190799993"
156,irueña,duero,Castilla Y León,Salamanca,"Abastecimiento
Hidroeléctrico
Ganadero
Defensa frente avenidas","40.4443173830001,-6.57938884699996","40,4443173830001","-6,57938884699996"
157,itoiz,ebro,Comunidad Foral De Navarra,Navarra,"Abastecimiento
Ganadero
Defensa frente avenidas","42.802482335,-1.36089896199996","42,802482335","-1,36089896199996"
158,iznajar,guadalquivir,Andalucía,Córdoba,"Abastecimiento
Ganadero
Defensa frente avenidas","37.276152972,-4.38687256899993","37,276152972","-4,38687256899993"
